iter	Passed	Remaining
0	164	164073
1	165	82399
2	165	55165
3	166	41520
4	167	33340
5	168	27861
6	168	23941
7	169	21001
8	169	18713
9	170	16882
10	171	15383
11	171	14136
12	172	13080
13	172	12174
14	173	11389
15	174	10704
16	174	10098
17	175	9558
18	175	9077
19	176	8642
20	176	8249
21	177	7892
22	178	7566
23	178	7267
24	179	6992
25	180	6744
26	180	6511
27	181	6294
28	181	6089
29	182	5899
30	183	5721
31	183	5554
32	184	5397
33	184	5249
34	185	5109
35	185	4977
36	186	4856
37	187	4743
38	188	4634
39	188	4531
40	189	4433
41	190	4339
42	190	4247
43	191	4160
44	192	4076
45	192	3997
46	193	3921
47	194	3849
48	194	3781
49	195	3715
50	196	3649
51	196	3585
52	197	3524
53	197	3465
54	198	3409
55	198	3354
56	199	3301
57	200	3250
58	200	3200
59	201	3152
60	201	3107
61	202	3062
62	202	3019
63	203	2977
64	204	2937
65	204	2897
66	205	2859
67	205	2818
68	206	2782
69	206	2747
70	207	2713
71	207	2680
72	208	2647
73	209	2616
74	209	2586
75	210	2557
76	210	2528
77	211	2500
78	212	2472
79	212	2446
80	213	2419
81	213	2394
82	214	2369
83	215	2344
84	215	2318
85	215	2295
86	216	2270
87	216	2248
88	217	2226
89	218	2205
90	218	2184
91	219	2164
92	219	2144
93	220	2124
94	221	2105
95	221	2086
96	222	2067
97	222	2049
98	223	2032
99	223	2014
100	224	1999
101	225	1982
102	225	1967
103	226	1951
104	227	1936
105	227	1920
106	228	1905
107	228	1890
108	229	1875
109	230	1861
110	230	1846
111	231	1832
112	231	1819
113	232	1805
114	232	1792
115	233	1778
116	233	1765
117	234	1753
118	235	1740
119	235	1728
120	236	1716
121	236	1704
122	237	1690
123	237	1678
124	238	1667
125	238	1656
126	239	1646
127	239	1634
128	240	1624
129	241	1613
130	241	1603
131	242	1593
132	242	1583
133	243	1573
134	244	1563
135	244	1554
136	245	1544
137	245	1534
138	246	1525
139	246	1516
140	247	1508
141	248	1499
142	248	1490
143	249	1481
144	249	1473
145	250	1465
146	251	1456
147	251	1448
148	252	1440
149	252	1432
150	253	1424
151	253	1416
152	254	1410
153	255	1404
154	256	1397
155	256	1389
156	257	1382
157	258	1375
158	258	1368
159	259	1361
160	259	1354
161	260	1347
162	261	1340
163	261	1333
164	262	1327
165	262	1320
166	263	1313
167	263	1307
168	264	1300
169	265	1294
170	265	1288
171	266	1281
172	266	1275
173	267	1269
174	268	1263
175	268	1257
176	269	1251
177	270	1246
178	270	1242
179	271	1237
180	271	1230
181	272	1224
182	273	1218
183	273	1213
184	274	1207
185	274	1202
186	275	1196
187	275	1191
188	276	1186
189	277	1181
190	277	1175
191	278	1170
192	278	1165
193	279	1160
194	279	1155
195	280	1150
196	281	1145
197	281	1140
198	282	1135
199	282	1130
200	283	1126
201	283	1121
202	284	1117
203	285	1112
204	285	1108
205	286	1104
206	287	1099
207	287	1095
208	288	1090
209	288	1086
210	289	1082
211	289	1077
212	290	1073
213	291	1069
214	292	1066
215	292	1062
216	293	1058
217	294	1055
218	294	1051
219	295	1048
220	296	1044
221	296	1040
222	297	1037
223	298	1033
224	298	1029
225	299	1025
226	300	1023
227	301	1019
228	301	1015
229	302	1012
230	302	1008
231	303	1004
232	304	1001
233	304	997
234	305	994
235	306	990
236	306	987
237	307	983
238	307	979
239	308	976
240	308	972
241	309	969
242	310	965
243	310	962
244	311	959
245	311	955
246	312	952
