iter	Passed	Remaining
0	146	146417
1	147	73445
2	147	49113
3	148	36942
4	148	29644
5	149	24845
6	150	21373
7	151	18757
8	151	16719
9	152	15089
10	153	13756
11	153	12643
12	154	11703
13	155	10929
14	156	10248
15	156	9636
16	157	9099
17	157	8615
18	158	8183
19	159	7794
20	159	7447
21	160	7130
22	161	6842
23	161	6579
24	162	6341
25	163	6113
26	163	5901
27	164	5705
28	164	5522
29	165	5351
30	166	5192
31	166	5041
32	167	4900
33	168	4775
34	168	4655
35	169	4538
36	170	4425
37	170	4319
38	171	4218
39	171	4122
40	172	4032
41	172	3945
42	173	3862
43	174	3783
44	174	3708
45	175	3636
46	175	3567
47	176	3501
48	177	3437
49	177	3378
50	178	3319
51	178	3261
52	179	3207
53	180	3154
54	180	3103
55	181	3054
56	181	3007
57	182	2968
58	183	2927
59	184	2885
60	184	2847
61	185	2809
62	186	2772
63	187	2737
64	188	2704
65	188	2672
66	189	2638
67	190	2604
68	190	2572
69	191	2540
70	191	2510
71	192	2480
72	192	2450
73	193	2422
74	194	2395
75	194	2367
76	195	2342
77	196	2318
78	197	2297
79	197	2275
80	198	2252
81	199	2230
82	199	2205
83	200	2184
84	201	2165
85	201	2144
86	202	2125
87	203	2108
88	204	2088
89	204	2068
90	205	2049
91	205	2030
92	206	2011
93	206	1993
94	207	1975
95	207	1958
96	208	1941
97	209	1924
98	209	1909
99	210	1894
100	211	1879
101	212	1866
102	212	1851
103	213	1837
104	213	1822
105	214	1808
106	214	1794
107	215	1780
108	216	1766
109	216	1753
110	217	1741
111	218	1731
112	218	1718
113	219	1706
114	220	1694
115	220	1682
116	221	1669
117	221	1657
118	222	1645
119	222	1634
120	223	1623
121	224	1612
122	224	1602
123	225	1591
124	225	1581
125	226	1571
126	227	1563
127	228	1554
128	228	1545
129	229	1536
130	230	1527
131	230	1518
132	231	1509
133	232	1501
134	232	1492
135	233	1485
136	234	1476
137	235	1468
138	235	1459
139	236	1450
140	236	1442
141	237	1432
142	237	1424
143	238	1416
144	238	1408
145	239	1400
146	240	1392
147	240	1385
148	241	1377
149	242	1372
150	243	1366
151	243	1360
152	244	1353
153	245	1347
154	245	1340
155	246	1334
156	247	1328
157	248	1322
158	248	1315
159	249	1309
160	249	1301
161	250	1294
162	250	1288
163	251	1281
164	252	1275
165	252	1269
166	253	1262
167	253	1256
168	254	1250
169	254	1244
170	255	1238
171	256	1233
172	257	1228
173	257	1223
174	258	1217
175	258	1212
176	259	1206
177	259	1200
178	260	1195
179	261	1190
180	261	1184
181	262	1179
182	263	1174
183	263	1168
184	264	1163
185	264	1158
186	265	1153
187	265	1148
188	266	1143
189	266	1138
190	267	1133
191	268	1128
192	268	1123
193	269	1118
194	269	1113
195	270	1109
196	270	1104
197	271	1101
198	272	1097
199	273	1092
200	273	1088
201	274	1083
202	274	1079
203	275	1074
204	275	1070
205	276	1065
206	277	1061
207	277	1057
208	278	1053
209	278	1048
210	279	1044
211	279	1040
212	280	1036
213	281	1032
214	281	1028
215	282	1024
216	282	1020
217	283	1016
218	283	1012
219	284	1008
220	284	1004
221	285	1000
222	286	996
223	286	994
224	287	990
225	288	987
226	288	983
227	289	979
228	289	976
229	290	972
230	291	969
231	291	965
232	292	962
233	292	958
234	293	955
235	294	951
236	294	948
237	295	944
238	295	941
239	296	937
240	296	934
241	297	931
242	297	927
243	298	924
244	298	921
245	299	917
246	300	914
247	300	911
248	301	908
249	302	906
250	303	904
251	303	901
252	304	899
253	305	896
254	305	893
255	306	890
256	307	887
257	307	884
258	308	882
259	309	879
260	309	877
261	310	874
262	311	871
263	311	869
264	312	866
265	313	863
266	313	861
267	314	858
268	314	855
269	315	853
270	316	851
271	317	849
272	317	846
273	318	844
274	319	841
275	319	838
276	320	836
277	320	833
278	321	830
279	322	828
280	322	825
281	323	822
282	323	820
283	324	817
284	324	814
285	325	812
286	325	809
287	326	807
288	327	804
289	327	802
290	328	799
291	328	797
292	329	795
293	330	792
294	330	790
295	331	787
296	332	786
297	332	783
298	333	781
299	333	779
300	334	776
301	335	774
302	335	771
303	336	769
304	336	767
305	337	765
306	337	762
307	338	760
308	339	758
309	339	755
310	340	753
311	340	751
312	341	749
313	341	746
314	342	744
315	342	742
316	343	740
317	344	737
318	344	735
319	345	733
320	345	731
321	346	729
322	347	727
323	347	725
324	348	723
325	349	721
326	349	719
327	350	717
328	350	715
329	351	713
330	351	711
331	352	709
332	352	706
333	353	704
334	354	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	359	684
344	359	682
345	360	681
346	360	679
347	361	677
348	362	676
349	362	674
350	363	672
351	364	670
352	364	668
353	365	666
354	365	664
355	366	662
356	366	660
357	367	659
358	368	657
359	368	655
360	369	653
361	369	651
362	370	649
363	370	648
364	371	646
365	372	644
366	372	642
367	373	640
368	373	639
369	374	637
370	374	635
